Pasuruan,96.95,95.97
Sidoarjo,109.16,106.35
Mojokerto,101.14,97.79
Jombang,98.97,98.01
Nganjuk,95.46,95.01
Madiun,96.24,95.85
Magetan,98.26,95.27
Ngawi,91.01,92.76
Bojonegoro,99.61,95.73
Tuban,100.68,97.93
Lamongan,101.79,97.63
Gresik,112.47,106.44
Bangkalan,99.74,100.12
Sampang,97.29,98.15
Pamekasan,101.07,96.19
Sumenep,103.17,102.75
Kota Kediri,94.6,94.38
Kota Blitar,94.4,92.25
Kota Malang,102.75,98.02
Kota Probolinggo,94.51,94.93
Kota Pasuruan,96.08,97.09
Kota Mojokerto,100.63,96.58
Kota Madiun,99.62,94.27
Kota Surabaya,105.08,102.54
Kota Batu,101.48,99.88
Pandeglang,85.18,85.68
Lebak,87.48,86.7
Tangerang,99.73,97.83
Serang,94.98,93.2
Kota Tangerang,101.65,98.61
Kota Cilegon,96.15,93.43
Kota Serang,99.45,95.04
Kota Tangerang Selatan,102.88,104.33
Jembrana,100.09,104.36
Tabanan,100.45,104.23
Badung,105.73,110.56
Gianyar,100.22,103.63
Klungkung,108.15,112.89
Bangli,104.22,109.08
Karangasem,101.88,102.95
Buleleng,100.39,104.76
Kota Denpasar,110.02,115.46
Lombok Barat,102.32,107.12
Lombok Tengah,100.11,101.64
Lombok Timur,101.71,105.37
Sumbawa,98.34,95.97
Dompu,104.7,108.9
Bima,109.79,111
Sumbawa Barat,97.19,97.37
Lombok Utara,98.04,100.83
Kota Mataram,100.59,102.96
Kota Bima,108.12,110.99
Sumba Barat,94.72,99.11
Sumba Timur,95.11,97.82
Kupang,83.71,82.56
Timor Tengah Selatan,88.03,86.09
Timor Tengah Utara,82.95,85.04
Belu,81.39,77.03
Alor,102.16,102.16
Lembata,92.89,93.55
Flores Timur,94.08,93.66
Sikka,87.14,89.38
Ende,87.52,86.78
Ngada,89.41,84.89
Manggarai,103.74,102.79
Rote Ndao,101.6,108.37
Manggarai Barat,98.39,99.67
Sumba Tengah,94.52,98.03
Sumba Barat Daya,95.12,96.6
Nagekeo,87.31,86.04
Manggarai Timur,95.15,93.7
Sabu Raijua,111.4,115.55
Malaka,84.21,80.07
Kota Kupang,89.38,84.59
Sambas,108.28,110.04
Bengkayang,105.08,105.48
Landak,108.29,109.12
Mempawah,101.83,103.51
Sanggau,110.37,109.31
Ketapang,104.62,103.67
Sintang,112.92,110.81
Kapuas Hulu,115.51,114.75
Sekadau,109.7,105.72
Melawi,112.59,110.58
Kayong Utara,104.74,106.78
Kubu Raya,103.73,103.68
Kota Pontianak,101.54,102.16
Kota Singkawang,106.04,107.89
Kotawaringin Barat,103.51,106.99
Kotawaringin Timur,103.35,105.91
Kapuas,102.39,102.29
Barito Selatan,101.62,103.59
Barito Utara,102.63,104.95
Sukamara,111.46,111.64
Lamandau,111.4,111.64
Seruyan,106.87,108.01
Katingan,100.6,102.48
Pulang Pisau,101.08,102.2
Gunung Mas,111.53,112.63
Barito Timur,100.47,102.86
Murung Raya,113.5,116.04
Kota Palangka Raya,99.54,101.91
Tanah Laut,99.35,101.31
Kota Baru,97.37,97.22
Banjar,102.65,101.45
Barito Kuala,112.96,110.05
Tapin,102.89,99.21
Hulu Sungai Selatan,100.66,93.27
Hulu Sungai Tengah,101.81,99.41
Hulu Sungai Utara,105.13,102.82
Tabalong,104.59,100.89
Tanah Bumbu,98.14,98.82
Balangan,113.8,106.76
Kota Banjarmasin,101.61,100
Kota Banjar Baru,102.69,98.84
Paser,113.05,114.87
Kutai Barat,120.95,126.5
Kutai Kartanegara,110.48,112.34
Kutai Timur,119.89,123.01
Berau,113.4,115.92
Penajam Paser Utara,116.6,117.84
Mahakam Ulu,129.59,137.82
Kota Balikpapan,110.67,111.89
Kota Samarinda,108.61,107.21
Kota Bontang,114.03,118.4
Malinau,100.01,103.83
Bulungan,102.95,109.68
Tana Tidung,103.97,105.9
Nunukan,112.27,107.83
